"Notes"	"State"	"State Code"	"Weekday"	"Weekday Code"	Deaths	Births	Death Rate
	"Indiana"	"18"	"Wednesday"	"4"	92	12947	7.11
	"Indiana"	"18"	"Thursday"	"5"	87	13209	6.59
	"Indiana"	"18"	"Friday"	"6"	74	13288	5.57
	"Indiana"	"18"	"Saturday"	"7"	65	8912	7.29
	"Iowa"	"19"	"Sunday"	"1"	29	3328	8.71
	"Iowa"	"19"	"Monday"	"2"	28	6001	4.67
	"Iowa"	"19"	"Tuesday"	"3"	22	6125	3.59
	"Iowa"	"19"	"Wednesday"	"4"	30	5968	5.03
	"Iowa"	"19"	"Thursday"	"5"	33	6160	5.36
	"Iowa"	"19"	"Friday"	"6"	25	6206	4.03
	"Iowa"	"19"	"Saturday"	"7"	21	3997	5.25
	"Kansas"	"20"	"Sunday"	"1"	29	2881	10.07
	"Kansas"	"20"	"Monday"	"2"	45	5945	7.57
	"Kansas"	"20"	"Tuesday"	"3"	33	5879	5.61
	"Kansas"	"20"	"Wednesday"	"4"	37	5979	6.19
	"Kansas"	"20"	"Thursday"	"5"	31	6188	5.01
	"Kansas"	"20"	"Friday"	"6"	34	6017	5.65
	"Kansas"	"20"	"Saturday"	"7"	22	3372	6.52
	"Kentucky"	"21"	"Sunday"	"1"	36	4615	7.80
	"Kentucky"	"21"	"Monday"	"2"	49	8325	5.89
	"Kentucky"	"21"	"Tuesday"	"3"	50	8853	5.65
	"Kentucky"	"21"	"Wednesday"	"4"	52	8791	5.92
	"Kentucky"	"21"	"Thursday"	"5"	49	8862	5.53
	"Kentucky"	"21"	"Friday"	"6"	54	8972	6.02
	"Kentucky"	"21"	"Saturday"	"7"	36	5504	6.54
	"Louisiana"	"22"	"Sunday"	"1"	43	4256	10.10
	"Louisiana"	"22"	"Monday"	"2"	70	10498	6.67
	"Louisiana"	"22"	"Tuesday"	"3"	71	10595	6.70
	"Louisiana"	"22"	"Wednesday"	"4"	79	10333	7.65
	"Louisiana"	"22"	"Thursday"	"5"	69	10336	6.68
	"Louisiana"	"22"	"Friday"	"6"	81	8893	9.11
	"Louisiana"	"22"	"Saturday"	"7"	43	4704	9.14
	"Maine"	"23"	"Sunday"	"1"	Suppressed	1194	Suppressed
	"Maine"	"23"	"Monday"	"2"	12	1760	6.82 (Unreliable)
	"Maine"	"23"	"Tuesday"	"3"	Suppressed	1911	Suppressed
	"Maine"	"23"	"Wednesday"	"4"	12	2010	5.97 (Unreliable)
	"Maine"	"23"	"Thursday"	"5"	12	1984	6.05 (Unreliable)
	"Maine"	"23"	"Friday"	"6"	13	2036	6.39 (Unreliable)
	"Maine"	"23"	"Saturday"	"7"	Suppressed	1416	Suppressed
	"Maryland"	"24"	"Sunday"	"1"	48	7085	6.77
	"Maryland"	"24"	"Monday"	"2"	53	10548	5.02
	"Maryland"	"24"	"Tuesday"	"3"	72	11302	6.37
	"Maryland"	"24"	"Wednesday"	"4"	58	11141	5.21
	"Maryland"	"24"	"Thursday"	"5"	72	11382	6.33
	"Maryland"	"24"	"Friday"	"6"	68	11442	5.94
	"Maryland"	"24"	"Saturday"	"7"	56	8180	6.85
	"Massachusetts"	"25"	"Sunday"	"1"	47	7777	6.04
	"Massachusetts"	"25"	"Monday"	"2"	29	9770	2.97
	"Massachusetts"	"25"	"Tuesday"	"3"	40	10622	3.77
	"Massachusetts"	"25"	"Wednesday"	"4"	41	10603	3.87
	"Massachusetts"	"25"	"Thursday"	"5"	50	10942	4.57
	"Massachusetts"	"25"	"Friday"	"6"	41	10866	3.77
	"Massachusetts"	"25"	"Saturday"	"7"	40	8529	4.69
	"Michigan"	"26"	"Sunday"	"1"	85	11077	7.67
	"Michigan"	"26"	"Monday"	"2"	100	16348	6.12
	"Michigan"	"26"	"Tuesday"	"3"	97	17219	5.63
	"Michigan"	"26"	"Wednesday"	"4"	103	17261	5.97
	"Michigan"	"26"	"Thursday"	"5"	92	17289	5.32
	"Michigan"	"26"	"Friday"	"6"	115	17908	6.42
	"Michigan"	"26"	"Saturday"	"7"	91	12930	7.04
	"Minnesota"	"27"	"Sunday"	"1"	33	6916	4.77
	"Minnesota"	"27"	"Monday"	"2"	48	10220	4.70
	"Minnesota"	"27"	"Tuesday"	"3"	49	10275	4.77
	"Minnesota"	"27"	"Wednesday"	"4"	65	10639	6.11
	"Minnesota"	"27"	"Thursday"	"5"	45	10464	4.30
	"Minnesota"	"27"	"Friday"	"6"	57	11001	5.18
	"Minnesota"	"27"	"Saturday"	"7"	44	7829	5.62
	"Mississippi"	"28"	"Sunday"	"1"	32	2529	12.65
	"Mississippi"	"28"	"Monday"	"2"	49	6292	7.79
