"Notes"	"State"	"State Code"	"Time of Day"	"Time of Day Code"	Deaths	Births	Death Rate
	"Mississippi"	"28"	"12:00 - 14:59"	"4"	44	7873	5.59
	"Mississippi"	"28"	"15:00 - 17:59"	"5"	52	6337	8.21
	"Mississippi"	"28"	"18:00 - 20:59"	"6"	45	4378	10.28
	"Mississippi"	"28"	"21:00 - 23:59"	"7"	35	2899	12.07
	"Mississippi"	"28"	"Unknown or Not Stated"	"33"	Suppressed	Suppressed	Suppressed
	"Mississippi"	"28"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"Missouri"	"29"	"00:00 - 02:59"	"0"	49	6260	7.83
	"Missouri"	"29"	"03:00 - 05:59"	"1"	45	6008	7.49
	"Missouri"	"29"	"06:00 - 08:59"	"2"	50	10594	4.72
	"Missouri"	"29"	"09:00 - 11:59"	"3"	65	11056	5.88
	"Missouri"	"29"	"12:00 - 14:59"	"4"	73	12434	5.87
	"Missouri"	"29"	"15:00 - 17:59"	"5"	64	10771	5.94
	"Missouri"	"29"	"18:00 - 20:59"	"6"	56	8665	6.46
	"Missouri"	"29"	"21:00 - 23:59"	"7"	60	7466	8.04
	"Missouri"	"29"	"Unknown or Not Stated"	"33"	Suppressed	15	Suppressed
	"Missouri"	"29"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"Montana"	"30"	"00:00 - 02:59"	"0"	Suppressed	1032	Suppressed
	"Montana"	"30"	"03:00 - 05:59"	"1"	Suppressed	952	Suppressed
	"Montana"	"30"	"06:00 - 08:59"	"2"	10	1818	5.50 (Unreliable)
	"Montana"	"30"	"09:00 - 11:59"	"3"	Suppressed	1422	Suppressed
	"Montana"	"30"	"12:00 - 14:59"	"4"	Suppressed	1776	Suppressed
	"Montana"	"30"	"15:00 - 17:59"	"5"	Suppressed	1678	Suppressed
	"Montana"	"30"	"18:00 - 20:59"	"6"	10	1487	6.72 (Unreliable)
	"Montana"	"30"	"21:00 - 23:59"	"7"	Suppressed	1348	Suppressed
	"Montana"	"30"	"Unknown or Not Stated"	"33"	Suppressed	Suppressed	Suppressed
	"Montana"	"30"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"Nebraska"	"31"	"00:00 - 02:59"	"0"	17	2144	7.93 (Unreliable)
	"Nebraska"	"31"	"03:00 - 05:59"	"1"	12	1948	6.16 (Unreliable)
	"Nebraska"	"31"	"06:00 - 08:59"	"2"	18	3935	4.57 (Unreliable)
	"Nebraska"	"31"	"09:00 - 11:59"	"3"	14	3430	4.08 (Unreliable)
	"Nebraska"	"31"	"12:00 - 14:59"	"4"	27	4301	6.28
	"Nebraska"	"31"	"15:00 - 17:59"	"5"	17	4025	4.22 (Unreliable)
	"Nebraska"	"31"	"18:00 - 20:59"	"6"	17	3208	5.30 (Unreliable)
	"Nebraska"	"31"	"21:00 - 23:59"	"7"	24	2496	9.62
	"Nebraska"	"31"	"Unknown or Not Stated"	"33"	Suppressed	Suppressed	Suppressed
	"Nebraska"	"31"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"Nevada"	"32"	"00:00 - 02:59"	"0"	22	3188	6.90
	"Nevada"	"32"	"03:00 - 05:59"	"1"	20	3178	6.29
	"Nevada"	"32"	"06:00 - 08:59"	"2"	18	5121	3.51 (Unreliable)
	"Nevada"	"32"	"09:00 - 11:59"	"3"	28	5351	5.23
	"Nevada"	"32"	"12:00 - 14:59"	"4"	34	5540	6.14
